filename,x,y,w,h
bb86b6f91d8925.jpg,896,1283,1989,174
7c5872d98edef6.jpg,13,485,1549,281
b2a55661ecc6ca.jpg,981,728,1408,230
9de1b3d657c278.jpg,1710,1474,346,79
147182a5a63da1.jpg,1120,1403,1706,187
4381be717eb678.jpg,1449,1063,363,111
c3d2a4bec2a028.jpg,2018,1103,160,48
407f8a42fcac48.jpg,1497,1059,705,175
ea2f5e113a4129.jpg,1626,1369,147,59
dceb600f413daa.jpg,1701,883,439,103
92146951a608d6.jpg,1650,1373,251,83
b10531feec0a50.jpg,1073,809,949,203
dc31d040e38222.jpg,2026,1428,337,67
30f8cae61e958f.jpg,1246,780,241,42
5b0ebcdba7d956.jpg,1710,1166,199,41
05a99eddff80f6.jpg,1504,1236,374,58
b115748388ed33.jpg,1672,1182,55,34
25e635142b6477.jpg,1850,1302,269,59
7cd3786b3a2e97.jpg,1882,816,456,113
095567b7edfb9c.jpg,11,178,1521,649
4f3daebd0f6f47.jpg,1302,1000,645,93
79ec7cc4bfe8e2.jpg,1862,1156,174,58
a8560db555e1bf.jpg,1777,1512,133,34
30d7d315c28840.jpg,1165,1246,791,149
1f962f51f168af.jpg,873,148,2726,1260
b5e47b8db2e715.jpg,1559,1194,353,55
5940b10284dedb.jpg,1633,1317,326,83
9e4951453a010d.jpg,1375,1016,291,81
051fef9034915d.jpg,1206,871,558,233
c65b8f0f4aea64.jpg,1284,1214,148,55
5cc355c1f0bf6a.jpg,1960,887,300,53
14b85de73d34b8.jpg,1234,1174,897,101
64bf519c9ef8ef.jpg,1572,1340,382,91
f8dce6217792f8.jpg,227,1146,1249,262
a3fb3a3baab2fb.jpg,1423,1542,718,152
e02d1ef413b018.jpg,297,205,3159,237
20055b3c3a7214.jpg,1606,1279,342,86
abac714ecfe7c4.jpg,1014,752,854,250
a74b19c4fe425a.jpg,1216,1114,157,51
fe5791007036b1.jpg,1756,1466,252,71
5d6aad370a7a19.jpg,1243,1759,407,76
664884f46345ee.jpg,1275,2,1056,1449
52daed0564cda3.jpg,1653,1114,406,86
febc8694b09b4f.jpg,1731,1481,164,53
a53ec5ea741c65.jpg,1779,1456,404,101
bd326bce9a61c5.jpg,1352,828,435,100
55922b9053e412.jpg,1751,1355,316,109
3f02bd2b960eca.jpg,1677,1208,344,68
dae87b3c31b7fb.jpg,1448,1334,1393,162
30130d04ac11f6.jpg,1686,1418,142,45
81455f9e6e230c.jpg,1362,1041,478,179
0b35b7e03ebe9c.jpg,792,1941,919,148
2067db1f3ecbdb.jpg,1705,1175,139,43
d5af3e042d9f26.jpg,181,131,1738,227
dc05f13a75d0a1.jpg,1658,1286,464,146
c3e669c81ecbc2.jpg,1434,1368,187,43
eb36c61dda63c5.jpg,1413,1527,313,78
4bf8a1ace326bf.jpg,1883,1388,149,51
1b0c1d609e1f38.jpg,1516,1300,559,135
40c4d9f887fefb.jpg,1480,1267,617,86
aff77331f5d6f9.jpg,1828,1439,298,94
997422c36b6863.jpg,1573,1304,169,81
de4aebc0b76c6a.jpg,1547,1468,488,91
c92ad75548c00c.jpg,1879,1347,481,154
53870ffb9b768f.jpg,1197,354,587,302
a4739b3d1a12b4.jpg,117,1281,299,107
afbc7998d3cac6.jpg,1877,1076,247,68
3078caf905ddd9.jpg,1489,1516,1195,202
6397565895ec09.jpg,1504,1025,320,81
5303f5be280a01.jpg,1578,1117,1393,170
46f10097cab4d2.jpg,1491,1345,1074,238
80d0162f89cae1.jpg,1854,1051,278,93
2a50b084566e04.jpg,1716,1246,265,258
5da97edfe0a5b1.jpg,901,763,453,124
e14a856477e9c4.jpg,1981,1180,286,84
1821cc63b9fcb9.jpg,1759,1183,274,87
8b0939a517dd83.jpg,1521,710,851,208
1a654b97603ebd.jpg,1420,1744,354,99
fb6aa44f8dd01c.jpg,1650,1089,240,76
87a23eaca5c913.jpg,961,594,340,72
b84169b4ae9c05.jpg,1075,1057,806,175
7dbac16d75d842.jpg,1469,1197,345,63
5ba6d6d4a8de46.jpg,1446,1103,1360,260
f1ad25c55c25ea.jpg,1754,1153,390,123
f746887521e25f.jpg,1770,1016,299,66
09883240d1aa8f.jpg,1293,1316,158,121
6207156bbf8570.jpg,1555,1231,243,94
7743b4cec8ebd5.jpg,35,927,2350,278
12fd305f641c4d.jpg,2034,1079,686,96
bde1f6d9df66a0.jpg,1839,892,249,73
e8f7893ea3484e.jpg,572,840,661,143
a34d7929db8e3a.jpg,1561,974,418,107
85bff906195262.jpg,1350,1168,284,61
7e993b014c7fe4.jpg,2537,1516,488,88
30abfc69f753e1.jpg,1679,1069,513,134
31244296aa562e.jpg,1602,1362,374,71
ba0cd320b3794c.jpg,114,1183,2799,230
64a3bad324a513.jpg,1110,880,1772,334
308084942a769c.jpg,1618,1386,1132,154
ff4d68370bdec9.jpg,1188,1231,869,109
6db0750fc4e56d.jpg,0,7,287,46
abd332238a1054.jpg,1521,1201,172,97
7ceffae8c77d3a.jpg,0,60,694,252
c97e2b71dd5264.jpg,1724,1122,538,121
